TF,mult_e,struct,TP_R,sesi,n,net,PF,WR%,avgR,maxDD,hijau,avgR_side,net_side,avgR_bull,net_bull
M5,1.8,10,4.0,ny,4744,-4397.0,0.91,34.7,-0.033,-4598.0,1/6,-0.048,-1895.0,-0.015,-2502.0
M5,1.8,20,2.0,asia,4432,680.0,1.03,35.9,-0.033,-1147.0,2/6,-0.053,-619.0,-0.01,1299.0
M30,1.2,10,3.0,asia,1053,495.0,1.04,35.6,-0.033,-1595.0,3/6,-0.065,-595.0,0.004,1090.0
M15,1.2,10,2.0,ny,2930,-2744.0,0.92,36.2,-0.033,-3179.0,1/6,-0.041,-905.0,-0.023,-1839.0
M30,1.8,20,3.0,all,3307,3273.0,1.05,33.7,-0.033,-5160.0,2/6,-0.076,-2597.0,0.02,5869.0
M30,1.2,20,4.0,all,5463,2467.0,1.03,34.7,-0.034,-4437.0,2/6,-0.066,-2676.0,0.005,5143.0
M30,1.8,10,5.0,all,3307,4154.0,1.07,33.3,-0.034,-4661.0,2/6,-0.076,-2079.0,0.019,6233.0
M30,1.2,10,4.0,all,5463,1892.0,1.02,34.5,-0.034,-4084.0,2/6,-0.066,-2435.0,0.006,4327.0
M30,1.8,20,2.0,all,3307,1262.0,1.02,34.1,-0.034,-5032.0,2/6,-0.07,-2446.0,0.011,3708.0
M5,1.8,10,flip,ny,4744,-4968.0,0.89,34.6,-0.034,-5052.0,0/6,-0.039,-1622.0,-0.027,-3346.0
M5,1.2,20,5.0,ny,7627,-4690.0,0.92,34.2,-0.034,-5551.0,0/6,-0.043,-2707.0,-0.023,-1982.0
M30,1.2,20,3.0,all,5463,1735.0,1.02,34.8,-0.034,-4052.0,2/6,-0.062,-2576.0,0.001,4311.0
M5,1.8,20,4.0,ny,4744,-4577.0,0.9,34.8,-0.035,-4681.0,2/6,-0.05,-2108.0,-0.016,-2468.0
M5,1.8,10,5.0,ny,4744,-4788.0,0.9,34.6,-0.035,-4872.0,0/6,-0.05,-1940.0,-0.017,-2848.0
M5,1.2,10,flip,ny,7627,-4321.0,0.93,34.1,-0.035,-5187.0,0/6,-0.044,-2576.0,-0.025,-1745.0
M5,1.8,20,flip,ny,4744,-5174.0,0.89,34.7,-0.035,-5256.0,0/6,-0.038,-1810.0,-0.031,-3364.0
M15,1.2,10,4.0,asia,2276,1548.0,1.08,37.5,-0.035,-1053.0,3/6,-0.058,-345.0,-0.01,1892.0
M5,1.8,20,3.0,ny,4744,-4995.0,0.9,34.9,-0.036,-5125.0,1/6,-0.049,-2150.0,-0.021,-2845.0
M15,1.2,20,2.0,all,11053,-3578.0,0.97,35.5,-0.036,-5241.0,2/6,-0.052,-3344.0,-0.017,-234.0
M15,1.2,20,flip,asia,2276,1055.0,1.05,37.7,-0.036,-1176.0,3/6,-0.057,-417.0,-0.013,1472.0
M15,1.2,20,5.0,asia,2276,1130.0,1.06,37.7,-0.036,-1136.0,3/6,-0.061,-429.0,-0.008,1559.0
